WILAYAH;KECAMATAN;KELURAHAN;NO_RT;NO_RW;LUAS_AREA;GENANGAN;TINGGI;FLOOD;KETERANGAN;WAKTU;WAKTU_TEXT;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;012;004;0,00251303;200 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;008;005;0,08820463;50 cm;2;YES;Curah Hujan Tinggi dan Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;003;007;0,0015746;120 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;006;011;0,01388714;190 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;018;007;0,00601428;190 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;016;007;0,00469946;190 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;015;007;0,01526326;190 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;005;007;0,00985252;190 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;009;007;0,00962298;190 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CILILITAN;001;006;0,00661502;70 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA BARAT;KALI DERES;TEGAL ALUR;008;001;0,06561282;40 cm;2;YES;LUAPAN KALI SEMONGOL DAN ROB;2021-12-03 12:00:18;2021-12-03 12:00;;
JAKARTA TIMUR;KRAMAT JATI;CILILITAN;008;007;0,01038902;150 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CILILITAN;003;006;0,00750801;170 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;003;010;0,03016137;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA SELATAN;PESANGGRAHAN;BINTARO;001;004;0,01538356;70 cm;2;YES;CURAH HUJAN TINGGI;2021-05-22 6:00:19;2021-05-22 06:00;;
JAKARTA SELATAN;PASAR MINGGU;CILANDAK TIMUR;009;003;0,15432647;40 cm;2;YES;Luapan Kali Krukut;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;PASAR MINGGU;CILANDAK TIMUR;003;003;0,04188585;40 cm;2;YES;Luapan Kali Krukut;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;KEBAYORAN LAMA;PONDOK PINANG;003;008;0,01831908;50 cm;2;YES;Luapan Kali Pesanggrahan;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;KEBAYORAN LAMA;PONDOK PINANG;016;005;0,00770456;90 cm;3;YES;Luapan Kali Pesanggrahan;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;KEBAYORAN LAMA;PONDOK PINANG;014;005;0,00462623;90 cm;3;YES;Luapan Kali Pesanggrahan;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;KEBAYORAN LAMA;PONDOK PINANG;010;005;0,01661909;90 cm;3;YES;Luapan Kali Pesanggrahan;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;PANCORAN;RAWA JATI;003;007;0,0058381;80 cm;3;YES;Curah Hujan Tinggi dan Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;PANCORAN;RAWA JATI;002;007;0,00678981;80 cm;3;YES;Curah Hujan Tinggi dan Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;PANCORAN;RAWA JATI;004;007;0,25775172;80 cm;3;YES;Curah Hujan Tinggi dan Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;014;007;0,0068071;190 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;KEBAYORAN LAMA;PONDOK PINANG;015;005;0,00151081;90 cm;3;YES;Luapan Kali Pesanggrahan;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;012;011;0,00607107;190 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;KEBAYORAN LAMA;PONDOK PINANG;004;008;0,02286853;50 cm;2;YES;Luapan Kali Pesanggrahan;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CILILITAN;006;007;0,01021672;250 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CILILITAN;004;006;0,01884698;100 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;PASAR MINGGU;JATI PADANG;009;006;0,00968147;70 cm;2;YES;Penyebab : Curah Hujan Tinggi dan Luapan Kali Sarua;2021-08-05 21:00:20;2021-08-05 21:00;;
JAKARTA SELATAN;PASAR MINGGU;JATI PADANG;007;003;0,03756852;40 cm;2;YES;Penyebab : Curah Hujan Tinggi dan Luapan Kali Sarua;2021-08-05 21:00:20;2021-08-05 21:00;;
JAKARTA TIMUR;DUREN SAWIT;PONDOK BAMBU;016;007;0,06385322;50 cm;2;YES;Hujan lokal dan tanggul urukan warga longsor;2022-03-15 9:00:19;2022-03-15 09:00;;
